,NAIP Entity ID,State,Agency,Vendor,Map Projection,Projection Zone,Datum,Resolution,Units,Number of Bands,Sensor Type,Project Name,Acquisition Date,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Entity ID
15,M_2708004_SW_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"27°54'22.58""N","80°35'37.47""W","27°56'22.25""N","80°37'37.23""W","27°56'21.54""N","80°33'36.82""W","27°52'22.88""N","80°33'37.78""W","27°52'23.58""N","80°37'38.05""W",27.9062722,-80.5937416,27.939513800000004,-80.6270082,27.9393166,-80.5602277,27.873022100000004,-80.5604944,27.873216600000003,-80.627236,M_2708004_SW_17_060_20191215,2856081
16,M_2708005_NW_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"27°58'07.52""N","80°28'07.51""W","28°00'07.40""N","80°30'07.42""W","28°00'06.47""N","80°26'06.43""W","27°56'07.62""N","80°26'07.68""W","27°56'08.55""N","80°30'08.52""W",27.9687554,-80.4687527,28.0020555,-80.50206109999999,28.001797200000002,-80.4351194,27.935449900000002,-80.4354666,27.935708299999998,-80.5023666,M_2708005_NW_17_060_20191215,2856082
17,M_2708005_SW_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"27°54'22.51""N","80°28'07.51""W","27°56'22.39""N","80°30'07.36""W","27°56'21.46""N","80°26'06.51""W","27°52'22.60""N","80°26'07.75""W","27°52'23.53""N","80°30'08.45""W",27.9062527,-80.4687527,27.9395527,-80.5020444,27.939294399999994,-80.4351416,27.872944300000004,-80.435486,27.8732027,-80.5023472,M_2708005_SW_17_060_20191215,2856083
18,M_2708011_NE_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"27°50'37.58""N","80°39'22.39""W","27°52'37.20""N","80°41'22.27""W","27°52'36.60""N","80°37'21.77""W","27°48'37.94""N","80°37'22.59""W","27°48'38.53""N","80°41'22.95""W",27.843772100000002,-80.6562194,27.8769999,-80.6895194,27.8768332,-80.62271379999999,27.810538800000003,-80.62294159999999,27.8107027,-80.68970829999999,M_2708011_NE_17_060_20191215,2856092
19,M_2708011_NW_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"27°50'37.51""N","80°43'07.47""W","27°52'37.08""N","80°45'07.41""W","27°52'36.58""N","80°41'06.91""W","27°48'37.92""N","80°41'07.60""W","27°48'38.40""N","80°45'07.95""W",27.8437527,-80.7187416,27.876966600000003,-80.7520583,27.8768277,-80.6852527,27.8105333,-80.68544440000001,27.8106666,-80.75220829999999,M_2708011_NW_17_060_20191215,2856093
20,M_2708011_SE_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"27°46'52.56""N","80°39'22.44""W","27°48'52.18""N","80°41'22.25""W","27°48'51.58""N","80°37'21.89""W","27°44'52.91""N","80°37'22.71""W","27°44'53.51""N","80°41'22.93""W",27.781266600000002,-80.6562333,27.814494399999997,-80.68951379999999,27.8143277,-80.62274709999998,27.7480305,-80.6229749,27.748197100000002,-80.6897027,M_2708011_SE_17_060_20191215,2856094
21,M_2708011_SW_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"27°46'52.58""N","80°43'07.39""W","27°48'52.05""N","80°45'07.26""W","27°48'51.56""N","80°41'06.90""W","27°44'53.09""N","80°41'07.59""W","27°44'53.58""N","80°45'07.80""W",27.781272100000002,-80.7187193,27.8144583,-80.75201659999999,27.8143222,-80.6852499,27.7480805,-80.68544159999999,27.748216600000003,-80.7521666,M_2708011_SW_17_060_20191215,2856095
22,M_2708012_NE_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"27°50'37.53""N","80°31'52.47""W","27°52'37.35""N","80°33'52.43""W","27°52'36.53""N","80°29'51.49""W","27°48'37.67""N","80°29'52.59""W","27°48'38.49""N","80°33'53.38""W",27.843758299999998,-80.5312416,27.877041600000002,-80.56456379999999,27.876813800000004,-80.497636,27.810463800000004,-80.49794159999999,27.810691600000002,-80.5648277,M_2708012_NE_17_060_20191215,2856096
23,M_2708012_NW_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"27°50'37.56""N","80°35'37.43""W","27°52'37.23""N","80°37'37.35""W","27°52'36.52""N","80°33'36.63""W","27°48'37.86""N","80°33'37.59""W","27°48'38.56""N","80°37'38.16""W",27.843766600000002,-80.5937305,27.8770082,-80.6270416,27.876811,-80.560175,27.810516600000003,-80.56044159999999,27.810711100000002,-80.6272666,M_2708012_NW_17_060_20191215,2856097
24,M_2708012_SE_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"27°46'52.51""N","80°31'52.45""W","27°48'52.33""N","80°33'52.23""W","27°48'51.52""N","80°29'51.65""W","27°44'52.65""N","80°29'52.75""W","27°44'53.47""N","80°33'53.18""W",27.7812527,-80.53123599999999,27.814536100000005,-80.5645083,27.814311100000005,-80.4976805,27.747958299999997,-80.497986,27.748185999999997,-80.56477220000001,M_2708012_SE_17_060_20191215,2856098
25,M_2708012_SW_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"27°46'52.54""N","80°35'37.39""W","27°48'52.21""N","80°37'37.24""W","27°48'51.50""N","80°33'36.66""W","27°44'52.84""N","80°33'37.62""W","27°44'53.54""N","80°37'38.05""W",27.781260999999997,-80.5937194,27.8145027,-80.627011,27.8143055,-80.56018329999999,27.748010999999998,-80.56045,27.7482055,-80.627236,M_2708012_SW_17_060_20191215,2856099
26,M_2708013_NE_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"27°50'37.45""N","80°24'22.45""W","27°52'37.48""N","80°26'22.37""W","27°52'36.44""N","80°22'21.22""W","27°48'37.40""N","80°22'22.60""W","27°48'38.43""N","80°26'23.60""W",27.843736,-80.40623609999999,27.8770777,-80.43954709999998,27.876788800000003,-80.372561,27.810388800000002,-80.3729443,27.810675,-80.43988879999999,M_2708013_NE_17_060_20191215,2856100
27,M_2708013_NW_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"27°50'37.49""N","80°28'07.41""W","27°52'37.37""N","80°30'07.29""W","27°52'36.44""N","80°26'06.36""W","27°48'37.59""N","80°26'07.60""W","27°48'38.51""N","80°30'08.38""W",27.8437471,-80.46872490000001,27.877047100000002,-80.502025,27.876788800000003,-80.43509990000001,27.810441600000004,-80.43544440000001,27.8106972,-80.5023277,M_2708013_NW_17_060_20191215,2856101
28,M_2708013_SE_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"27°46'52.44""N","80°24'22.47""W","27°48'52.46""N","80°26'22.21""W","27°48'51.43""N","80°22'21.42""W","27°44'52.38""N","80°22'22.79""W","27°44'53.41""N","80°26'23.44""W",27.7812332,-80.4062416,27.8145722,-80.4395027,27.814286100000004,-80.3726166,27.747883299999998,-80.37299709999999,27.748169399999995,-80.4398444,M_2708013_SE_17_060_20191215,2856102
29,M_2708013_SW_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"27°46'52.47""N","80°28'07.40""W","27°48'52.35""N","80°30'07.22""W","27°48'51.43""N","80°26'06.43""W","27°44'52.57""N","80°26'07.66""W","27°44'53.49""N","80°30'08.31""W",27.7812416,-80.4687221,27.814541600000002,-80.50200550000001,27.814286100000004,-80.4351194,27.747936,-80.435461,27.748191600000002,-80.5023083,M_2708013_SW_17_060_20191215,2856103
30,M_2708019_NE_17_060_20191215,FL,USDA,USDA_FSA_APFO,UTM,17N,NAD83,0.6,METER,4,CNIR,201911_FLORIDA_NAIP_0X6000M_UTM_CNIR,2019/12/15,"27°43'07.54""N","80°39'22.38""W","27°45'07.16""N","80°41'22.23""W","27°45'06.56""N","80°37'21.79""W","27°41'07.89""N","80°37'22.61""W","27°41'08.49""N","80°41'22.91""W",27.718760999999997,-80.6562166,27.751988800000003,-80.6895083,27.7518222,-80.6227193,27.6855249,-80.62294709999999,27.685691600000002,-80.68969709999999,M_2708019_NE_17_060_20191215,2856112
