products,prices,ratings,price_origs,pages
ASUS VivoBook 15 (2022) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS | X515JA-E...,"₹32,990",4.3,"₹45,990",/asus-vivobook-15-2022-core-i3-10th-gen-8-gb-512-gb-ssd-windows-11-home-x515ja-ej362ws-x515ja-ej392ws-x515ja-ej382ws-thin-light-laptop/p/itm8e0e9c901e006?pid=COMG87FFPEDAAGXW&lid=LSTCOMG87FFPEDAAGXWHLSICD&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_11&otracker=browse&iid=1f314e05-6db1-46f3-be7d-731e78ef630b.COMG87FFPEDAAGXW.SEARCH&ssid=3kkqf401eo0000001678100246320
Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14ITL05 Thin and Light Laptop,"₹33,990",4.2,"₹60,890",/lenovo-ideapad-3-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-14itl05-thin-light-laptop/p/itme5d4463121c64?pid=COMG9VKERHP4FACH&lid=LSTCOMG9VKERHP4FACHOL4YVH&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_12&otracker=browse&iid=en_Vb1vxebTye4m5ke9U%2B3jwfMGNtAxxcj5Fnzf8yVKoKWzb1W5cOFQHxsWJuIajeMGgKi1nd4qoCaFDcvdIK0Gng%3D%3D&ssid=3kkqf401eo0000001678100246320
ASUS TUF Gaming A17 with 90Whr Battery Ryzen 7 Octa Core AMD R7-4800H - (8 GB/512 GB SSD/Windows 11 Ho...,"₹72,309",4.4,"₹94,990",/asus-tuf-gaming-a17-90whr-battery-ryzen-7-octa-core-amd-r7-4800h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-fa706icb-hx061w-fa706ic-hx036w-laptop/p/itm1d301df445d80?pid=COMGB732ZPGYB2JP&lid=LSTCOMGB732ZPGYB2JPRDSJFF&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_13&otracker=browse&iid=1f314e05-6db1-46f3-be7d-731e78ef630b.COMGB732ZPGYB2JP.SEARCH&ssid=3kkqf401eo0000001678100246320
HP 15s Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5007TU Thin and Light Laptop,"₹44,490",4.2,"₹56,260",/hp-15s-intel-core-i3-12th-gen-8-gb-512-gb-ssd-windows-11-home-15s-fq5007tu-thin-light-laptop/p/itm559f5c880dc4a?pid=COMGKW2NSU4SPZSG&lid=LSTCOMGKW2NSU4SPZSGEOIPKZ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_14&otracker=browse&iid=1f314e05-6db1-46f3-be7d-731e78ef630b.COMGKW2NSU4SPZSG.SEARCH&ssid=3kkqf401eo0000001678100246320
ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ322WS Thin and Light La...,"₹38,990",4.1,"₹50,990",/asus-vivobook-15-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-x515ea-ej322ws-thin-light-laptop/p/itmc6461360364e0?pid=COMGA5TUCZAV4HGH&lid=LSTCOMGA5TUCZAV4HGHWM8PS0&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_15&otracker=browse&iid=1f314e05-6db1-46f3-be7d-731e78ef630b.COMGA5TUCZAV4HGH.SEARCH&ssid=3kkqf401eo0000001678100246320
Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 82H801L7IN | 82H802FJIN | 82H802...,"₹37,900",4.3,"₹59,390",/lenovo-ideapad-3-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-82h801l7in-82h802fjin-82h802l3in-82h801lhin-thin-light-laptop/p/itm0e009f57a591b?pid=COMG9VHHG6Q3RRJX&lid=LSTCOMG9VHHG6Q3RRJXQHPK6Q&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_16&otracker=browse&iid=en_Vb1vxebTye4m5ke9U%2B3jwfMGNtAxxcj5Fnzf8yVKoKVWxBFjMjo483oOgml52ZHZA8e7LX5u%2Bn%2FwoAnHGy5c8w%3D%3D&ssid=3kkqf401eo0000001678100246320
Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL28 Thin and Light ...,"₹29,990",4.2,"₹44,990",/infinix-inbook-y1-plus-intel-core-i3-10th-gen-8-gb-256-gb-ssd-windows-11-home-xl28-thin-light-laptop/p/itm64fd5584698f7?pid=COMGMM3HY5EMNFZA&lid=LSTCOMGMM3HY5EMNFZAYFBZG8&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_17&otracker=browse&iid=1f314e05-6db1-46f3-be7d-731e78ef630b.COMGMM3HY5EMNFZA.SEARCH&ssid=3kkqf401eo0000001678100246320
DELL Vostro Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Vostro 3510 Thin and Light L...,"₹37,990",4,"₹58,489",/dell-vostro-core-i3-11th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-11-home-3510-thin-light-laptop/p/itm94af7689e9e9a?pid=COMGH53NQJHWAYP7&lid=LSTCOMGH53NQJHWAYP7R1RMWX&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_18&otracker=browse&iid=1f314e05-6db1-46f3-be7d-731e78ef630b.COMGH53NQJHWAYP7.SEARCH&ssid=3kkqf401eo0000001678100246320
Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL28 Thin and Light ...,"₹29,990",4.2,"₹44,990",/infinix-inbook-y1-plus-intel-core-i3-10th-gen-8-gb-256-gb-ssd-windows-11-home-xl28-thin-light-laptop/p/itm6c066be25ddde?pid=COMGMM3H4NFYZHVW&lid=LSTCOMGMM3H4NFYZHVWBONOTX&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_19&otracker=browse&iid=1f314e05-6db1-46f3-be7d-731e78ef630b.COMGMM3H4NFYZHVW.SEARCH&ssid=3kkqf401eo0000001678100246320
Lenovo IdeaPad Gaming Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,"₹53,990",4.3,"₹76,890",/lenovo-ideapad-gaming-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-82k101b6in-82k101ftin-laptop/p/itm52edaf472c5df?pid=COMGFM5BFZHDDB4R&lid=LSTCOMGFM5BFZHDDB4RSEPODX&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_1_20&otracker=browse&iid=en_Vb1vxebTye4m5ke9U%2B3jwfMGNtAxxcj5Fnzf8yVKoKXzG%2Fiq4eJqBvzDVkmUrzwwCwYlu7her6AyfG1oiA8JWg%3D%3D&ssid=3kkqf401eo0000001678100246320
