products,prices,ratings,price_origs,pages
HP Victus Intel Core i7 12th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3...,"₹90,990",4.4,"₹1,01,278",/hp-victus-intel-core-i7-12th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-15-fa0073tx-gaming-laptop/p/itm9010e2ab6b562?pid=COMGGKKZX7FC7GHU&lid=LSTCOMGGKKZX7FC7GHUX9YXDZ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_2_36&otracker=browse&iid=en_9lNSr1PTH66dODOlx8WxotxreLU2PXI5jLTt3lyNMMJSxh0Ua72f%2BZFsL1FPbYHj%2F9%2FS4A4kr%2FhpC1E5DyWeuw%3D%3D&ssid=jobgy7rxuo0000001678100249286
Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 82H801L7IN | 82H802FJIN | 82H802...,"₹37,900",4.3,"₹59,390",/lenovo-ideapad-3-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-82h801l7in-82h802fjin-82h802l3in-82h801lhin-thin-light-laptop/p/itm0e009f57a591b?pid=COMG9VHHG6Q3RRJX&lid=LSTCOMG9VHHG6Q3RRJXQHPK6Q&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_2_37&otracker=browse&iid=368a105f-49ca-4a0c-94a8-6032a5aa8f4b.COMG9VHHG6Q3RRJX.SEARCH&ssid=jobgy7rxuo0000001678100249286
acer Aspire 7 Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 16...,"₹61,990",4.3,"₹85,999",/acer-aspire-7-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-a715-5g-a715-51g-gaming-laptop/p/itm442577a46ec1f?pid=COMGGJZVRQHWHDVH&lid=LSTCOMGGJZVRQHWHDVHT5QLFD&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_2_38&otracker=browse&iid=368a105f-49ca-4a0c-94a8-6032a5aa8f4b.COMGGJZVRQHWHDVH.SEARCH&ssid=jobgy7rxuo0000001678100249286
APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN93HN/A,"₹86,990",4.7,"₹99,900",/apple-2020-macbook-air-m1-8-gb-256-gb-ssd-mac-os-big-sur-mgn93hn-a/p/itmb53580bb51a7e?pid=COMFXEKMXWUMGPHW&lid=LSTCOMFXEKMXWUMGPHWKF7Y8O&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_2_39&otracker=browse&iid=368a105f-49ca-4a0c-94a8-6032a5aa8f4b.COMFXEKMXWUMGPHW.SEARCH&ssid=jobgy7rxuo0000001678100249286
Lenovo Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 81X800J3IN | 8...,"₹38,490",4.3,"₹59,890",/lenovo-ideapad-slim-3-intel-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-81x800j3in-81x800lgin-thin-light-laptop/p/itm0f71148608a53?pid=COMGBNFUTNYFZRJQ&lid=LSTCOMGBNFUTNYFZRJQFAMIHE&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_2_40&otracker=browse&iid=en_9lNSr1PTH66dODOlx8WxotxreLU2PXI5jLTt3lyNMMKNnn4%2Fwzkcd8GkxK%2F3iL7gPAxr7UtmpR%2BiS3L%2BNs7HVg%3D%3D&ssid=jobgy7rxuo0000001678100249286
Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14ITL05 Thin and Light Laptop,"₹33,990",4.2,"₹60,890",/lenovo-ideapad-3-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-14itl05-thin-light-laptop/p/itme5d4463121c64?pid=COMG9VKERHP4FACH&lid=LSTCOMG9VKERHP4FACHOL4YVH&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_2_41&otracker=browse&iid=368a105f-49ca-4a0c-94a8-6032a5aa8f4b.COMG9VKERHP4FACH.SEARCH&ssid=jobgy7rxuo0000001678100249286
HP Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) 14s-fy1005AU Thin and Light Laptop,"₹58,990",4.2,"₹71,766",/hp-ryzen-7-octa-core-5700u-16-gb-512-gb-ssd-windows-11-home-14s-fy1005au-thin-light-laptop/p/itm77442b0d00185?pid=COMGG3S9SZMBSGBY&lid=LSTCOMGG3S9SZMBSGBYMF5RIT&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_2_42&otracker=browse&iid=368a105f-49ca-4a0c-94a8-6032a5aa8f4b.COMGG3S9SZMBSGBY.SEARCH&ssid=jobgy7rxuo0000001678100249286
ASUS Vivobook 15 Touch Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EZ501WS Thin and Li...,"₹51,990",4.3,"₹74,990",/asus-vivobook-15-touch-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-x515ea-ez501ws-thin-light-laptop/p/itm26c5a90e36562?pid=COMGEFDUTSJZGPRS&lid=LSTCOMGEFDUTSJZGPRSMJ1UDU&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_2_43&otracker=browse&iid=368a105f-49ca-4a0c-94a8-6032a5aa8f4b.COMGEFDUTSJZGPRS.SEARCH&ssid=jobgy7rxuo0000001678100249286
Lenovo IdeaPad Slim 3 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15ITL05 Thin and Light Lapt...,"₹59,390",,"₹59,390",/lenovo-ideapad-slim-3-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-15itl05-thin-light-laptop/p/itm409e7356d6162?pid=COMGN29YGMXF5DNH&lid=LSTCOMGN29YGMXF5DNHZKTYJV&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_2_44&otracker=browse&iid=en_9lNSr1PTH66dODOlx8WxotxreLU2PXI5jLTt3lyNMMJVUv5qhaFwkUq5CKHUYRktLTRfKJlYViBsEZ0dMnyxRQ%3D%3D&ssid=jobgy7rxuo0000001678100249286
HP Pavilion Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) 14-EC1019AU Thin and Light La...,"₹61,990",4.4,"₹72,536",/hp-pavilion-ryzen-5-hexa-core-5625u-16-gb-512-gb-ssd-windows-11-home-14-ec1019au-thin-light-laptop/p/itm4ec1b61477716?pid=COMGDSFCWQY5EFZB&lid=LSTCOMGDSFCWQY5EFZBI2IRJS&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_2_45&otracker=browse&iid=368a105f-49ca-4a0c-94a8-6032a5aa8f4b.COMGDSFCWQY5EFZB.SEARCH&ssid=jobgy7rxuo0000001678100249286
HP Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 14s-fq1089au Thin and Light Laptop,"₹39,790",4.3,"₹48,294",/hp-ryzen-3-quad-core-5300u-8-gb-512-gb-ssd-windows-11-home-14s-fq1089au-thin-light-laptop/p/itm30e084d034979?pid=COMGAY9Y7WXZYFDA&lid=LSTCOMGAY9Y7WXZYFDAYEJGOH&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_2_46&otracker=browse&iid=368a105f-49ca-4a0c-94a8-6032a5aa8f4b.COMGAY9Y7WXZYFDA.SEARCH&ssid=jobgy7rxuo0000001678100249286
ASUS VivoBook K15 OLED Ryzen 5 Hexa Core AMD R5-5500U - (16 GB/512 GB SSD/Windows 11 Home) KM513UA-L51...,"₹56,990",4.4,"₹80,990",/asus-vivobook-k15-oled-ryzen-5-hexa-core-amd-r5-5500u-16-gb-512-gb-ssd-windows-11-home-km513ua-l513ws-thin-light-laptop/p/itm17fc91defb5f1?pid=COMGB6DZ2CWGEPPU&lid=LSTCOMGB6DZ2CWGEPPUWBHR1I&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_2_47&otracker=browse&iid=368a105f-49ca-4a0c-94a8-6032a5aa8f4b.COMGB6DZ2CWGEPPU.SEARCH&ssid=jobgy7rxuo0000001678100249286
Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light Lap...,"₹45,126",4.3,"₹68,490",/lenovo-ideapad-3-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-15alc6-thin-light-laptop/p/itm790def6ef6b6f?pid=COMG9VHHF6HVJPP9&lid=LSTCOMG9VHHF6HVJPP9U213LU&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_2_48&otracker=browse&iid=en_9lNSr1PTH66dODOlx8WxotxreLU2PXI5jLTt3lyNMMIBH83bDtfbQjlEK0dXhm3eS4lXn4otu4VE1o4S8e22qA%3D%3D&ssid=jobgy7rxuo0000001678100249286
ASUS Vivobook 15 Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-BQ522WS Thin and Light La...,"₹49,990",4.2,"₹69,990",/asus-vivobook-15-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-x515ea-bq522ws-thin-light-laptop/p/itm288b0b090b4de?pid=COMGDRNRY8YB3KEG&lid=LSTCOMGDRNRY8YB3KEGDE7H8T&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_3_49&otracker=browse&iid=e5a534b3-17fa-46cd-a12a-4f325f8a6799.COMGDRNRY8YB3KEG.SEARCH&ssid=fhdh6zaagg0000001678100251718
DELL Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home/2 GB Graphics) New Inspiron 15 Laptop Thin an...,"₹63,890",,"₹91,292",/dell-core-i5-12th-gen-8-gb-512-gb-ssd-windows-11-home-2-graphics-new-inspiron-15-laptop-thin-light/p/itm928f882f2c204?pid=COMGJ75HVGFXHX7H&lid=LSTCOMGJ75HVGFXHX7H241S9C&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_3_50&otracker=browse&iid=e5a534b3-17fa-46cd-a12a-4f325f8a6799.COMGJ75HVGFXHX7H.SEARCH&ssid=fhdh6zaagg0000001678100251718
Lenovo Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15ITL05 Thin a...,"₹33,490",4.2,"₹48,490",/lenovo-ideapad-slim-3-intel-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-15itl05-thin-light-laptop/p/itmfeceb3575a35f?pid=COMGHA9RPMRF2BAR&lid=LSTCOMGHA9RPMRF2BARF6GSIV&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_3_51&otracker=browse&iid=e5a534b3-17fa-46cd-a12a-4f325f8a6799.COMGHA9RPMRF2BAR.SEARCH&ssid=fhdh6zaagg0000001678100251718
HP Victus Intel Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX ...,"₹65,990",4.6,"₹88,056",/hp-victus-intel-core-i5-11th-gen-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-16-d0311tx-gaming-laptop/p/itm22c164f45d999?pid=COMGHYYKESUN5ZKQ&lid=LSTCOMGHYYKESUN5ZKQNTQDKG&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_3_52&otracker=browse&iid=en_9fXWY1vVdkvXJ7nUAQdRtCwsusZwgq83F3066fkkwKyKd12fRk9R2uvXeYH7NrfbVWqwQTijCqeUWUawETN5xw%3D%3D&ssid=fhdh6zaagg0000001678100251718
APPLE 2022 MacBook AIR M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLXW3HN/A,"₹1,13,990",4.6,"₹1,19,900",/apple-2022-macbook-air-m2-8-gb-256-gb-ssd-mac-os-monterey-mlxw3hn-a/p/itm9da65ee831fac?pid=COMGFB2GSG8EQXCQ&lid=LSTCOMGFB2GSG8EQXCQCYZEC9&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_3_53&otracker=browse&iid=e5a534b3-17fa-46cd-a12a-4f325f8a6799.COMGFB2GSG8EQXCQ.SEARCH&ssid=fhdh6zaagg0000001678100251718
ASUS Vivobook Pro 15 OLED Ryzen 7 Octa Core AMD R7-4800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Grap...,"₹65,990",4.5,"₹88,990",/asus-vivobook-pro-15-oled-ryzen-7-octa-core-amd-r7-4800h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-max-q-m6500ih-l1701ws-creator-laptop/p/itm54b817c900023?pid=COMGG3S9HBQRYGX8&lid=LSTCOMGG3S9HBQRYGX8NCNHND&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_3_54&otracker=browse&iid=e5a534b3-17fa-46cd-a12a-4f325f8a6799.COMGG3S9HBQRYGX8.SEARCH&ssid=fhdh6zaagg0000001678100251718
HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 14s-fq1092au Thin and Light Laptop,"₹47,990",4.2,"₹55,690",/hp-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-14s-fq1092au-thin-light-laptop/p/itm808dc28eb54e7?pid=COMGAX8EYBZZDXY6&lid=LSTCOMGAX8EYBZZDXY6KGWIPZ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_3_55&otracker=browse&iid=e5a534b3-17fa-46cd-a12a-4f325f8a6799.COMGAX8EYBZZDXY6.SEARCH&ssid=fhdh6zaagg0000001678100251718
RedmiBook Pro Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) Thin and Light Laptop,"₹39,990",4.1,"₹59,999",/redmibook-pro-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-thin-light-laptop/p/itm436427e982703?pid=COMG4Z359A4Z3MFG&lid=LSTCOMG4Z359A4Z3MFGOJQLGB&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_3_56&otracker=browse&iid=en_9fXWY1vVdkvXJ7nUAQdRtCwsusZwgq83F3066fkkwKy7Kdn3%2FiO2mjT%2B0Oox6rxvTj1Hc3YfkkZizBLEZSepeg%3D%3D&ssid=fhdh6zaagg0000001678100251718
HP Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 14s-fy1003AU Thin and Light Laptop,"₹50,490",4.2,"₹59,240",/hp-ryzen-5-hexa-core-5500u-16-gb-512-gb-ssd-windows-11-home-14s-fy1003au-thin-light-laptop/p/itm0da2f0fc45d99?pid=COMGG3S9HWSFYNHW&lid=LSTCOMGG3S9HWSFYNHWUE3QX5&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_3_57&otracker=browse&iid=e5a534b3-17fa-46cd-a12a-4f325f8a6799.COMGG3S9HWSFYNHW.SEARCH&ssid=fhdh6zaagg0000001678100251718
ASUS Vivobook Pro 15 Ryzen 7 Octa Core AMD R7-4800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/...,"₹57,990",4.5,"₹82,990",/asus-vivobook-pro-15-ryzen-7-octa-core-amd-r7-4800h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-max-q-m6500ih-hn702ws-creator-laptop/p/itmfaba2ef5035c4?pid=COMGG3S9WZXTUHH2&lid=LSTCOMGG3S9WZXTUHH2XI7I6Q&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_3_58&otracker=browse&iid=e5a534b3-17fa-46cd-a12a-4f325f8a6799.COMGG3S9WZXTUHH2.SEARCH&ssid=fhdh6zaagg0000001678100251718
DELL Inspiron Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 Laptop Thin and Lig...,"₹58,790",,"₹81,487",/dell-inspiron-core-i5-12th-gen-8-gb-512-gb-ssd-windows-11-home-new-15-laptop-thin-light/p/itmae0ed2021be79?pid=COMGJ75HN66KHZYB&lid=LSTCOMGJ75HN66KHZYBAIP1H7&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_3_59&otracker=browse&iid=e5a534b3-17fa-46cd-a12a-4f325f8a6799.COMGJ75HN66KHZYB.SEARCH&ssid=fhdh6zaagg0000001678100251718
HP Victus Intel Core i7 12th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3...,"₹90,990",4.4,"₹1,01,278",/hp-victus-intel-core-i7-12th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-15-fa0073tx-gaming-laptop/p/itm9010e2ab6b562?pid=COMGGKKZX7FC7GHU&lid=LSTCOMGGKKZX7FC7GHUX9YXDZ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_3_60&otracker=browse&iid=en_9fXWY1vVdkvXJ7nUAQdRtCwsusZwgq83F3066fkkwKwLSHav2PnzM1jqNKShtgsq%2F9%2FS4A4kr%2FhpC1E5DyWeuw%3D%3D&ssid=fhdh6zaagg0000001678100251718
HP Pavilion Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,"₹66,990",4.5,"₹81,869",/hp-pavilion-ryzen-5-hexa-core-amd-r5-5600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-15-ec2145ax-gaming-laptop/p/itmbb28e8f26e4d1?pid=COMG92FXBNZSKYBD&lid=LSTCOMG92FXBNZSKYBDB8CIDK&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_3_61&otracker=browse&iid=e5a534b3-17fa-46cd-a12a-4f325f8a6799.COMG92FXBNZSKYBD.SEARCH&ssid=fhdh6zaagg0000001678100251718
acer Aspire 7 Ryzen 5 Hexa Core AMD R5-5500U - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA G...,"₹52,990",4.4,"₹76,999",/acer-aspire-7-ryzen-5-hexa-core-amd-r5-5500u-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-a715-42g-a715-42g-r2ne-gaming-laptop/p/itmf26ac2ffc71a8?pid=COMGYCG8ZBXWPYUU&lid=LSTCOMGYCG8ZBXWPYUUSTSMVQ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_3_62&otracker=browse&iid=e5a534b3-17fa-46cd-a12a-4f325f8a6799.COMGYCG8ZBXWPYUU.SEARCH&ssid=fhdh6zaagg0000001678100251718
APPLE 2023 MacBook Pro M2 Pro - (16 GB/512 GB SSD/macOS Ventura) MPHE3HN/A,"₹1,99,900",,"₹1,99,900",/apple-2023-macbook-pro-m2-16-gb-512-gb-ssd-macos-ventura-mphe3hn-a/p/itm4add2a5623d7e?pid=COMGHZGHYVZZ5K3Y&lid=LSTCOMGHZGHYVZZ5K3YGXY8G7&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_3_63&otracker=browse&iid=e5a534b3-17fa-46cd-a12a-4f325f8a6799.COMGHZGHYVZZ5K3Y.SEARCH&ssid=fhdh6zaagg0000001678100251718
Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14ITL05 Thin and Light Laptop,"₹33,990",4.2,"₹60,890",/lenovo-ideapad-3-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-14itl05-thin-light-laptop/p/itme5d4463121c64?pid=COMG9VKERHP4FACH&lid=LSTCOMG9VKERHP4FACHOL4YVH&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_3_64&otracker=browse&iid=en_9fXWY1vVdkvXJ7nUAQdRtCwsusZwgq83F3066fkkwKx8if%2FQh7UlblO%2BUgFhULMi2qlRJqxjaNLRS9GReiXcjg%3D%3D&ssid=fhdh6zaagg0000001678100251718
DELL Inspiron Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3511 Thin and Light Laptop,"₹49,990",3.7,"₹62,234",/dell-inspiron-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-3511-thin-light-laptop/p/itmfc00129bfb0c7?pid=COMGF478XMB8URCH&lid=LSTCOMGF478XMB8URCHJHKSDC&marketplace=FLIPKART&store=6bo%2Fb5g&spotlightTagId=TrendingId_6bo%2Fb5g&srno=b_3_65&otracker=browse&iid=e5a534b3-17fa-46cd-a12a-4f325f8a6799.COMGF478XMB8URCH.SEARCH&ssid=fhdh6zaagg0000001678100251718
ASUS ROG Strix G15 Ryzen 7 Octa Core AMD R7-4800H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,"₹87,990",4.5,"₹1,07,990",/asus-rog-strix-g15-ryzen-7-octa-core-amd-r7-4800h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-g513ic-hn025w-gaming-laptop/p/itm8e5ef2d250684?pid=COMGAD9VKCWK8CZU&lid=LSTCOMGAD9VKCWK8CZUU4ICFA&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_3_66&otracker=browse&iid=e5a534b3-17fa-46cd-a12a-4f325f8a6799.COMGAD9VKCWK8CZU.SEARCH&ssid=fhdh6zaagg0000001678100251718
ASUS TUF Gaming A15 with 90Whr Battery Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/6 G...,"₹89,990",4.5,"₹1,07,990",/asus-tuf-gaming-a15-90whr-battery-ryzen-7-octa-core-5800h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3060-fa506qm-hn008w-laptop/p/itmcc4c1c0d500ac?pid=COMGGYY3RQKKKVKS&lid=LSTCOMGGYY3RQKKKVKSNV6PMX&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_3_67&otracker=browse&iid=e5a534b3-17fa-46cd-a12a-4f325f8a6799.COMGGYY3RQKKKVKS.SEARCH&ssid=fhdh6zaagg0000001678100251718
Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 82H801L7IN | 82H802FJIN | 82H802...,"₹37,900",4.3,"₹59,390",/lenovo-ideapad-3-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-82h801l7in-82h802fjin-82h802l3in-82h801lhin-thin-light-laptop/p/itm0e009f57a591b?pid=COMG9VHHG6Q3RRJX&lid=LSTCOMG9VHHG6Q3RRJXQHPK6Q&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_3_68&otracker=browse&iid=en_9fXWY1vVdkvXJ7nUAQdRtCwsusZwgq83F3066fkkwKw0RI2gTT9Pownb7ifvC9Q52y27Gq9BiKXHqC0JcvFn8A%3D%3D&ssid=fhdh6zaagg0000001678100251718
HP 14s Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14s - dy5005TU Thin and Light Lapto...,"₹61,990",4.2,"₹75,190",/hp-14s-intel-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-dy5005tu-thin-light-laptop/p/itm9372d97b214bd?pid=COMGG3S93DSUQPMU&lid=LSTCOMGG3S93DSUQPMUWKX9QS&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_3_69&otracker=browse&iid=e5a534b3-17fa-46cd-a12a-4f325f8a6799.COMGG3S93DSUQPMU.SEARCH&ssid=fhdh6zaagg0000001678100251718
HP Envy x360 Creator Intel Evo Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 15-ew0040TU Thin ...,"₹79,990",,"₹95,630",/hp-envy-x360-creator-intel-evo-core-i5-12th-gen-16-gb-512-gb-ssd-windows-11-home-15-ew0040tu-thin-light-laptop/p/itm23e0bb7d485fc?pid=COMGH47NST7ZHJG5&lid=LSTCOMGH47NST7ZHJG5PUWTZN&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_3_70&otracker=browse&iid=e5a534b3-17fa-46cd-a12a-4f325f8a6799.COMGH47NST7ZHJG5.SEARCH&ssid=fhdh6zaagg0000001678100251718
HP Pavilion Intel Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home) EG2039TU Thin and Light Laptop,"₹89,990",4.2,"₹1,06,308",/hp-pavilion-intel-core-i7-12th-gen-16-gb-1-tb-ssd-windows-11-home-eg2039tu-thin-light-laptop/p/itm3dd05733f5d96?pid=COMGDTTDMGMYVNBK&lid=LSTCOMGDTTDMGMYVNBKBLFOTU&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_3_71&otracker=browse&iid=e5a534b3-17fa-46cd-a12a-4f325f8a6799.COMGDTTDMGMYVNBK.SEARCH&ssid=fhdh6zaagg0000001678100251718
Lenovo IdeaPad Gaming Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,"₹53,990",4.3,"₹76,890",/lenovo-ideapad-gaming-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-82k101b6in-82k101ftin-laptop/p/itm52edaf472c5df?pid=COMGFM5BFZHDDB4R&lid=LSTCOMGFM5BFZHDDB4RSEPODX&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_3_72&otracker=browse&iid=en_9fXWY1vVdkvXJ7nUAQdRtCwsusZwgq83F3066fkkwKz4o58E6FnJiu26xO6UM1exurI%2FFIWBAry4lBkgL%2BfV%2BA%3D%3D&ssid=fhdh6zaagg0000001678100251718
HP Pavilion Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home) 14-dv2015TU Thin and Light Laptop,"₹85,000",,"₹1,01,321",/hp-pavilion-core-i7-12th-gen-16-gb-1-tb-ssd-windows-11-home-14-dv2015tu-thin-light-laptop/p/itma371be6132d97?pid=COMGEG3ZZGWA8XE2&lid=LSTCOMGEG3ZZGWA8XE2UWHEP0&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_73&otracker=browse&iid=3b7e28bc-cc95-40a9-956a-ef89f61d3ac8.COMGEG3ZZGWA8XE2.SEARCH&ssid=l0whvvdmao0000001678100254078
ASUS VivoBook K15 OLED Ryzen 7 Octa Core AMD R7-5700U - (16 GB/512 GB SSD/Windows 11 Home) KM513UA-L71...,"₹61,990",4.3,"₹86,990",/asus-vivobook-k15-oled-ryzen-7-octa-core-amd-r7-5700u-16-gb-512-gb-ssd-windows-11-home-km513ua-l713ws-thin-light-laptop/p/itmb3a48eb017e5c?pid=COMGB6DZKZZVUQSW&lid=LSTCOMGB6DZKZZVUQSWWWGAPR&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_74&otracker=browse&iid=3b7e28bc-cc95-40a9-956a-ef89f61d3ac8.COMGB6DZKZZVUQSW.SEARCH&ssid=l0whvvdmao0000001678100254078
ASUS VivoBook K15 OLED (2022) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) K513EA-L302WS Thin ...,"₹42,990",4.4,"₹58,990",/asus-vivobook-k15-oled-2022-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-k513ea-l302ws-thin-light-laptop/p/itmb768764e55ddd?pid=COMG87FFTTGFCKBS&lid=LSTCOMG87FFTTGFCKBS21FXQR&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_75&otracker=browse&iid=3b7e28bc-cc95-40a9-956a-ef89f61d3ac8.COMG87FFTTGFCKBS.SEARCH&ssid=l0whvvdmao0000001678100254078
